"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
65,"2,5-Dichlorophenol",161.963913,"C6H4Cl2O","c1cc(c(cc1Cl)O)Cl","InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H","RANCECPPZPIPNO-UHFFFAOYSA-N"
6633,"2,6-Dichlorophenol",161.963913,"C6H4Cl2O","c1cc(c(c(c1)Cl)O)Cl","InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H","HOLHYSJJBXSLMV-UHFFFAOYSA-N"
6988,"3,4-Dichlorophenol",161.963913,"C6H4Cl2O","c1cc(c(cc1O)Cl)Cl","InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H","WDNBURPWRNALGP-UHFFFAOYSA-N"
8140,"2,4-Dichlorophenol",161.963913,"C6H4Cl2O","c1cc(c(cc1Cl)Cl)O","InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H","HFZWRUODUSTPEG-UHFFFAOYSA-N"
10857,"2,3-Dichlorophenol",161.963913,"C6H4Cl2O","c1cc(c(c(c1)Cl)Cl)O","InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(9)6(4)8/h1-3,9H","UMPSXRYVXUPCOS-UHFFFAOYSA-N"
11083,"3,5-Dichlorophenol",161.963913,"C6H4Cl2O","c1c(cc(cc1Cl)Cl)O","InChI=1S/C6H4Cl2O/c7-4-1-5(8)3-6(9)2-4/h1-3,9H","VPOMSPZBQMDLTM-UHFFFAOYSA-N"
330782,"4,6a-Dihydro-3aH-cyclopenta[d][1,2,3]trithiole",161.963165,"C5H6S3","C1C=CC2C1SSS2","InChI=1S/C5H6S3/c1-2-4-5(3-1)7-8-6-4/h1-2,4-5H,3H2","FQGAFLWXVAGMFY-UHFFFAOYSA-N"
517697,"4,5-Dimethyl-3H-1,2-dithiole-3-thione",161.963165,"C5H6S3","Cc1c(ssc1=S)C","InChI=1S/C5H6S3/c1-3-4(2)7-8-5(3)6/h1-2H3","GIHGTMXLYJIABQ-UHFFFAOYSA-N"
2884981,"4,5-Dimethyl-1,3-dithiole-2-thione",161.963165,"C5H6S3","Cc1c(sc(=S)s1)C","InChI=1S/C5H6S3/c1-3-4(2)8-5(6)7-3/h1-2H3","VNIDDFPDCPYIFF-UHFFFAOYSA-N"
4474615,"6-Vinyl-4H-1,2,3-trithiine",161.963165,"C5H6S3","C=CC1=CCSSS1","InChI=1S/C5H6S3/c1-2-5-3-4-6-8-7-5/h2-3H,1,4H2","UJHKOYDQEBADCI-UHFFFAOYSA-N"
8210491,"4-Ethyl-3H-1,2-dithiole-3-thione",161.963165,"C5H6S3","CCC1=CSSC1=S","InChI=1S/C5H6S3/c1-2-4-3-7-8-5(4)6/h3H,2H2,1H3","VCVVZOWIDGXEQT-UHFFFAOYSA-N"
9301694,"Potassium (~123~I)iodide",161.963715,"[123I]K","[K+].[I-]","InChI=1S/HI.K/h1H;/q;+1/p-1","NLKNQRATVPKPDG-UHFFFAOYSA-M"
9323002,"2-(2,2-Dichlorovinyl)furan",161.963913,"C6H4Cl2O","Cl/C(Cl)=C\c1occc1","InChI=1S/C6H4Cl2O/c7-6(8)4-5-2-1-3-9-5/h1-4H","JFWALRNRSZUXFT-UHFFFAOYSA-N"
10437117,"5-Ethyl-3H-1,2-dithiole-3-thione",161.963165,"C5H6S3","CCc1cc(=S)ss1","InChI=1S/C5H6S3/c1-2-4-3-5(6)8-7-4/h3H,2H2,1H3","GUBILWKWWKEJGX-UHFFFAOYSA-N"
17339368,"Methanaminium, N-(dichloromethylene)-N-methyl-, hydrochloride (1:1)",161.963852,"C3H7Cl3N","C[N+](=C(Cl)Cl)C.Cl","InChI=1S/C3H6Cl2N.ClH/c1-6(2)3(4)5;/h1-2H3;1H/q+1;","NRNFKRFWZQQDMD-UHFFFAOYSA-N"
24204482,"2,4-Dichloro-2,5-cyclohexadien-1-one",161.963913,"C6H4Cl2O","C1=CC(=O)C(=CC1Cl)Cl","InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-4H","OBPQNZIFRJMAEY-UHFFFAOYSA-N"
24204483,"2,5-Dichloro-2,4-cyclopentadiene-1-carbaldehyde",161.963913,"C6H4Cl2O","C1=C(C(C(=C1)Cl)C=O)Cl","InChI=1S/C6H4Cl2O/c7-5-1-2-6(8)4(5)3-9/h1-4H","LFFMLAPLUGFIPN-UHFFFAOYSA-N"
24204489,"2,5-Dichloro-2,5-cyclohexadien-1-one",161.963913,"C6H4Cl2O","C1C=C(C(=O)C=C1Cl)Cl","InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h2-3H,1H2","ITXLUJJCSGXKBF-UHFFFAOYSA-N"
24204506,"2,3-Dichloro-1,3-cyclopentadiene-1-carbaldehyde",161.963913,"C6H4Cl2O","C1C=C(C(=C1C=O)Cl)Cl","InChI=1S/C6H4Cl2O/c7-5-2-1-4(3-9)6(5)8/h2-3H,1H2","XFQGCZRKKILBEK-UHFFFAOYSA-N"
24622004,"2-(Methyldisulfanyl)thiophene",161.963165,"C5H6S3","CSSc1cccs1","InChI=1S/C5H6S3/c1-6-8-5-3-2-4-7-5/h2-4H,1H3","WRASPQWAKZMYQU-UHFFFAOYSA-N"
29776929,"5,6-Dichloro-2,4-cyclohexadien-1-one",161.963913,"C6H4Cl2O","C1=CC(=O)C(C(=C1)Cl)Cl","InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(9)6(4)8/h1-3,6H","NGWPSKXUQHZTSY-UHFFFAOYSA-N"
29776930,"2,3-Dichloro-2,4-cyclohexadien-1-one",161.963913,"C6H4Cl2O","C1C=CC(=C(C1=O)Cl)Cl","InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(9)6(4)8/h1-2H,3H2","HNPBKTZZZLLEMQ-UHFFFAOYSA-N"
29776931,"4,6-Dichloro-2,4-cyclohexadien-1-one",161.963913,"C6H4Cl2O","C1=CC(=O)C(C=C1Cl)Cl","InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,5H","PGFWLQCWXTYMTN-UHFFFAOYSA-N"
29776932,"2,4-Dichloro-2,4-cyclohexadien-1-one",161.963913,"C6H4Cl2O","C1C=C(C=C(C1=O)Cl)Cl","InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1,3H,2H2","NSARLUGSAAQLJF-UHFFFAOYSA-N"
