"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
5670,"Dehydroepiandrosterone",288.208923,"C19H28O2","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C","InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3/t13-,14-,15-,16-,18-,19-/m0/s1","FMGSKLZLMKYGDP-USOAJAOKSA-N"
5791,"Testosterone",288.208923,"C19H28O2","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C","InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17-,18-,19-/m0/s1","MUMGGOZAMZWBJJ-DYKIIFRCSA-N"
9789,"Epitestosterone",288.208923,"C19H28O2","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=CC(=O)CC[C@]34C","InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17+,18-,19-/m0/s1","MUMGGOZAMZWBJJ-KZYORJDKSA-N"
10132,"(17beta)-17-Hydroxy-17-methylestr-4-en-3-one",288.208923,"C19H28O2","C[C@@]1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)O","InChI=1S/C19H28O2/c1-18-9-7-15-14-6-4-13(20)11-12(14)3-5-16(15)17(18)8-10-19(18,2)21/h11,14-17,21H,3-10H2,1-2H3/t14?,15?,16?,17?,18?,19-/m0/s1","ZXSWTMLNIIZPET-LUWCXRDKSA-N"
16695,"(17beta)-17-Hydroxy-17-methylestr-5(10)-en-3-one",288.208923,"C19H28O2","C[C@@]1(CCC2C1(CCC3C2CCC4=C3CCC(=O)C4)C)O","InChI=1S/C19H28O2/c1-18-9-7-15-14-6-4-13(20)11-12(14)3-5-16(15)17(18)8-10-19(18,2)21/h15-17,21H,3-11H2,1-2H3/t15?,16?,17?,18?,19-/m0/s1","BTGXWXORQARJRC-VEGHNBABSA-N"
18447,"(7alpha)-17-Hydroxy-7-methylestr-4-en-3-one",288.208923,"C19H28O2","C[C@@H]1CC2=CC(=O)CCC2C3C1C4CCC(C4(CC3)C)O","InChI=1S/C19H28O2/c1-11-9-12-10-13(20)3-4-14(12)15-7-8-19(2)16(18(11)15)5-6-17(19)21/h10-11,14-18,21H,3-9H2,1-2H3/t11-,14?,15?,16?,17?,18?,19?/m1/s1","YSGQGNQWBLYHPE-BRIGUCEYSA-N"
46696,"(17beta)-17-Hydroxy-6-methylestr-4-en-3-one",288.208923,"C19H28O2","CC1CC2C(CCC3(C2CC[C@@H]3O)C)C4C1=CC(=O)CC4","InChI=1S/C19H28O2/c1-11-9-16-14(13-4-3-12(20)10-15(11)13)7-8-19(2)17(16)5-6-18(19)21/h10-11,13-14,16-18,21H,3-9H2,1-2H3/t11?,13?,14?,16?,17?,18-,19?/m0/s1","IADMIEQJGFYVBM-ZVNIGZPLSA-N"
52188,"Ethyl 4-(2-methyl-2-propen-1-yl)-3,5-dipropylbenzoate",288.208923,"C19H28O2","CCCc1cc(cc(c1CC(=C)C)CCC)C(=O)OCC","InChI=1S/C19H28O2/c1-6-9-15-12-17(19(20)21-8-3)13-16(10-7-2)18(15)11-14(4)5/h12-13H,4,6-11H2,1-3,5H3","HWIXDIXLHKCHDY-UHFFFAOYSA-N"
92117,"(17beta)-3-Methoxyestra-2,5(10)-dien-17-ol",288.208923,"C19H28O2","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3CC=C(C4)OC","InChI=1S/C19H28O2/c1-19-10-9-15-14-6-4-13(21-2)11-12(14)3-5-16(15)17(19)7-8-18(19)20/h4,15-18,20H,3,5-11H2,1-2H3/t15-,16-,17+,18+,19+/m1/s1","XFFZLECPCHQJIR-GFEQUFNTSA-N"
114679,"19-Hydroxyandrost-4-en-17-one",288.208923,"C19H28O2","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CCCC[C@]34CO","InChI=1S/C19H28O2/c1-18-11-9-16-14(15(18)7-8-17(18)21)6-5-13-4-2-3-10-19(13,16)12-20/h4,14-16,20H,2-3,5-12H2,1H3/t14-,15-,16-,18-,19+/m0/s1","UGCIHWZOIVCJGP-BGJMDTOESA-N"
117898,"(3alpha,5beta)-3-Hydroxy-10,17-dimethylgon-13(17)-en-16-one",288.208923,"C19H28O2","CC1=C2CC[C@H]3[C@H]([C@@H]2CC1=O)CC[C@H]4[C@@]3(CC[C@H](C4)O)C","InChI=1S/C19H28O2/c1-11-14-5-6-17-15(16(14)10-18(11)21)4-3-12-9-13(20)7-8-19(12,17)2/h12-13,15-17,20H,3-10H2,1-2H3/t12-,13-,15+,16-,17+,19+/m1/s1","DIRKPDDVEMEJPR-NOXHQTKFSA-N"
