rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)
1	C21H8N6O9	[M + H]+	C21H8N6O9	9.263435660451423	9.263435660451423	0.0	4	0.9798952388655039	2.7655300546309842	2.7655300546309842	1.9378887756925542
2	C14H12N6O14	[M + H]+	C14H12N6O14	8.889676020881167	8.889676020881167	0.0	4	0.9798952388655039	2.762305250091075	2.8276244384318057	-10.07173409013526
3	C25H12O11	[M + H]+	C25H12O11	8.887296485187308	8.887296485187308	0.0	3	0.5935402346176036	-5.720534205771153	5.720534205771153	-3.553172857916403
4	C16H8N8O11	[M + H]+	C16H8N8O11	8.624512707792059	8.624512707792059	0.0	4	0.9798952388655039	2.8276244384318057	2.8276244384318057	10.163660102779032
5	C15H8N10O10	[M + H]+	C15H8N10O10	8.458834943509167	8.458834943509167	0.0	4	0.9798952388655039	2.762305250091075	2.8276244384318057	-12.806443783729016
6	C19H13N4O10P	[M + H]+	C19H13N4O10P	8.265401237202743	8.265401237202743	0.0	4	0.9798952388655039	2.762305250091075	2.762305250091075	-1.4430170128869377
7	C10H8N12O12	[M + H]+	C10H8N12O12	8.249454528458207	8.249454528458207	0.0	4	0.9798952388655039	2.762305250091075	2.8276244384318057	-4.580672456526304
8	C13H14N8O9P2	[M + H]+	C13H14N8O9P2	8.190901633973132	8.190901633973132	0.0	4	0.9798952388655039	2.762305250091075	2.762305250091075	0.6671388321425274
9	C15H12N4O15	[M + H]+	C15H12N4O15	8.15506378595436	8.15506378595436	0.0	4	0.9798952388655039	2.8276244384318057	2.8276244384318057	12.898369796256553
10	C11H19N6O10P3	[M + H]+	C11H19N6O10P3	8.149120805781457	8.149120805781457	0.0	4	0.9798952388655039	2.762305250091075	2.762305250091075	-2.7137669563207307
