"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
1145,"(2E)-3-(1H-Imidazol-4-yl)acrylic acid",138.042923,"C6H6N2O2","c1c(nc[nH]1)/C=C/C(=O)O","InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+","LOIYMIARKYCTBW-OWOJBTEDSA-N"
7145,"3-Nitroaniline",138.042923,"C6H6N2O2","c1cc(cc(c1)[N+](=O)[O-])N","InChI=1S/C6H6N2O2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,7H2","XJCVRTZCHMZPBD-UHFFFAOYSA-N"
7451,"N-Hydroxy-4-nitrosoaniline",138.042923,"C6H6N2O2","c1cc(ccc1NO)N=O","InChI=1S/C6H6N2O2/c9-7-5-1-2-6(8-10)4-3-5/h1-4,7,9H","DZCCLNYLUGNUKQ-UHFFFAOYSA-N"
8343,"1-Hydroxy-2-oxo-1-phenylhydrazine",138.042923,"C6H6N2O2","c1ccc(cc1)N(N=O)O","InChI=1S/C6H6N2O2/c9-7-8(10)6-4-2-1-3-5-6/h1-5,10H","DAHPIMYBWVSMKQ-UHFFFAOYSA-N"
12253,"4-(Nitrosomethylene)-1(4H)-pyridinol",138.042923,"C6H6N2O2","C1=CN(C=CC1=CN=O)O","InChI=1S/C6H6N2O2/c9-7-5-6-1-3-8(10)4-2-6/h1-5,10H","XOTXPRUFDURHKP-UHFFFAOYSA-N"
17469,"6-Aminonicotinic acid",138.042923,"C6H6N2O2","c1cc(=N)[nH]cc1C(=O)O","InChI=1S/C6H6N2O2/c7-5-2-1-4(3-8-5)6(9)10/h1-3H,(H2,7,8)(H,9,10)","ZCIFWRHIEBXBOY-UHFFFAOYSA-N"
23028,"1,1-Dicyanoethyl acetate",138.042923,"C6H6N2O2","CC(=O)OC(C)(C#N)C#N","InChI=1S/C6H6N2O2/c1-5(9)10-6(2,3-7)4-8/h1-2H3","OSNAAKXQIFQLNS-UHFFFAOYSA-N"
55135,"N-Nitroaniline",138.042923,"C6H6N2O2","c1ccc(cc1)N[N+](=O)[O-]","InChI=1S/C6H6N2O2/c9-8(10)7-6-4-2-1-3-5-6/h1-5,7H","VBEGHXKAFSLLGE-UHFFFAOYSA-N"
63461,"3-Hydroxypicolinamide",138.042923,"C6H6N2O2","c1cc(c(nc1)C(=O)N)O","InChI=1S/C6H6N2O2/c7-6(10)5-4(9)2-1-3-8-5/h1-3,9H,(H2,7,10)","VIHUZJYFQOEUMI-UHFFFAOYSA-N"
64346,"N-Hydroxynicotinamide",138.042923,"C6H6N2O2","c1cc(cnc1)C(=O)NO","InChI=1S/C6H6N2O2/c9-6(8-10)5-2-1-3-7-4-5/h1-4,10H,(H,8,9)","IYCHDNQCHLMLJZ-UHFFFAOYSA-N"
65522,"Nicotinamide 1-oxide",138.042923,"C6H6N2O2","c1cc(c[n+](c1)[O-])C(=O)N","InChI=1S/C6H6N2O2/c7-6(9)5-2-1-3-8(10)4-5/h1-4H,(H2,7,9)","USSFUVKEHXDAPM-UHFFFAOYSA-N"
65523,"Methyl pyrazinoate",138.042923,"C6H6N2O2","COC(=O)c1cnccn1","InChI=1S/C6H6N2O2/c1-10-6(9)5-4-7-2-3-8-5/h2-4H,1H3","TWIIRMSFZNYMQE-UHFFFAOYSA-N"
65528,"3,6-Bis(methylene)-2,5-piperazinedione",138.042923,"C6H6N2O2","C=c1c(=O)[nH]c(=C)c(=O)[nH]1","InChI=1S/C6H6N2O2/c1-3-5(9)8-4(2)6(10)7-3/h1-2H2,(H,7,10)(H,8,9)","UKQPHICLKVWLEU-UHFFFAOYSA-N"
65757,"6-Oxo-1,6-dihydro-3-pyridinecarboxamide",138.042923,"C6H6N2O2","c1cc(ncc1C(=O)N)O","InChI=1S/C6H6N2O2/c7-6(10)4-1-2-5(9)8-3-4/h1-3H,(H2,7,10)(H,8,9)","NGPNYDVHEUXWIA-UHFFFAOYSA-N"
65762,"2-Aminonicotinic acid",138.042923,"C6H6N2O2","c1cc(c(nc1)N)C(=O)O","InChI=1S/C6H6N2O2/c7-5-4(6(9)10)2-1-3-8-5/h1-3H,(H2,7,8)(H,9,10)","KPIVDNYJNOPGBE-UHFFFAOYSA-N"
65782,"Isonicotinamide 1-oxide",138.042923,"C6H6N2O2","c1c[n+](ccc1C(=O)N)[O-]","InChI=1S/C6H6N2O2/c7-6(9)5-1-3-8(10)4-2-5/h1-4H,(H2,7,9)","NZUWTGHVOISMHN-UHFFFAOYSA-N"
65783,"N-Hydroxyisonicotinamide",138.042923,"C6H6N2O2","c1cnccc1C(=O)NO","InChI=1S/C6H6N2O2/c9-6(8-10)5-1-3-7-4-2-5/h1-4,10H,(H,8,9)","HZNTVAYNXKPCFK-UHFFFAOYSA-N"
66470,"3-Amino-2-pyridinecarboxylic acid",138.042923,"C6H6N2O2","c1cc(c(nc1)C(=O)O)N","InChI=1S/C6H6N2O2/c7-4-2-1-3-8-5(4)6(9)10/h1-3H,7H2,(H,9,10)","BOOMHTFCWOJWFO-UHFFFAOYSA-N"
