mz	intensity	rel.intensity	exactmass	formula	ionization
68.024400	2064966.20	1.00	68.023260	C2H5O	[M + Na]+
56.049600	890015.80	0.43	56.049476	C3H5N	[M + H]+
58.065300	2683323.00	1.30	58.065126	C3H7N	[M + H]+
60.055700	19158144.00	9.27	60.055624	CH5N3	[M + H]+
85.050800	32494888.00	15.72	85.049810	C2H8NO	[M + Na]+
81.044700	459195.20	0.22	81.044725	C4H4N2	[M + H]+
83.060400	8710302.00	4.21	83.060375	C4H6N2	[M + H]+
108.055600	6498543.50	3.14	108.054561	C5H9O	[M + Na]+
110.046100	1230449.00	0.60	110.045059	C3H7N2O	[M + Na]+
112.061700	576228.10	0.28	112.060709	C3H9N2O	[M + Na]+
100.086900	846321.00	0.41	100.086924	C4H9N3	[M + H]+
125.082100	17335174.00	8.39	125.081110	C5H12NO	[M + Na]+
139.072500	2935127.50	1.42	139.071608	C4H10N3O	[M + Na]+
140.093000	1145310.10	0.55	140.092009	C5H13N2O	[M + Na]+
150.077500	826622.30	0.40	150.076359	C6H11N2O	[M + Na]+
167.103900	206684544.00	100.00	167.102908	C6H14N3O	[M + Na]+
