"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
568,"Creatinine",113.058914,"C4H7N3O","CN1CC(=NC1=N)O","InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)","DDRJAANPRJIHGJ-UHFFFAOYSA-N"
13011,"4,5-Dihydro-1H-pyrazole-1-carboxamide",113.058914,"C4H7N3O","C1CN(N=C1)C(=O)N","InChI=1S/C4H7N3O/c5-4(8)7-3-1-2-6-7/h2H,1,3H2,(H2,5,8)","FGCBXTLVUQGHQP-UHFFFAOYSA-N"
55991,"3-(METHYLNITROSAMINO)PROPIONITRILE",113.058914,"C4H7N3O","CN(CCC#N)N=O","InChI=1S/C4H7N3O/c1-7(6-8)4-2-3-5/h2,4H2,1H3","HZDLDFBKYBGNHG-UHFFFAOYSA-N"
75885,"Ethyl N'-cyanocarbamimidate",113.058914,"C4H7N3O","CCO/C(=N\C#N)/N","InChI=1S/C4H7N3O/c1-2-8-4(6)7-3-5/h2H2,1H3,(H2,6,7)","GZDJNVITGJORKZ-UHFFFAOYSA-N"
86697,"1-(2-Cyanoethyl)urea",113.058914,"C4H7N3O","C(CNC(=O)N)C#N","InChI=1S/C4H7N3O/c5-2-1-3-7-4(6)8/h1,3H2,(H3,6,7,8)","KXLLKSHFFVQKTQ-UHFFFAOYSA-N"
121761,"2,5-Dimethyl-1,2-dihydro-3H-1,2,4-triazol-3-one",113.058914,"C4H7N3O","Cc1[nH]n(c(=O)n1)C","InChI=1S/C4H7N3O/c1-3-5-4(8)7(2)6-3/h1-2H3,(H,5,6,8)","XCVAVAXVPQNMJY-UHFFFAOYSA-N"
126324,"4,5-Dimethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",113.058914,"C4H7N3O","Cc1n[nH]c(=O)n1C","InChI=1S/C4H7N3O/c1-3-5-6-4(8)7(3)2/h1-2H3,(H,6,8)","BVNFZLFQKJYVDJ-UHFFFAOYSA-N"
158165,"2-(4H-1,2,4-Triazol-4-yl)ethanol",113.058914,"C4H7N3O","c1nncn1CCO","InChI=1S/C4H7N3O/c8-2-1-7-3-5-6-4-7/h3-4,8H,1-2H2","YOSYLAYVXLOORB-UHFFFAOYSA-N"
209761,"4-Amino-5,6-dihydro-2(1H)-pyrimidinone",113.058914,"C4H7N3O","C1CNC(=O)N=C1N","InChI=1S/C4H7N3O/c5-3-1-2-6-4(8)7-3/h1-2H2,(H3,5,6,7,8)","FPOVCZDHZSAAIX-UHFFFAOYSA-N"
211924,"2-Amino-5,6-dihydro-4(3H)-pyrimidinone",113.058914,"C4H7N3O","C1CN=C(NC1=O)N","InChI=1S/C4H7N3O/c5-4-6-2-1-3(8)7-4/h1-2H2,(H3,5,6,7,8)","BNHBTRHDCIHBAU-UHFFFAOYSA-N"
220965,"3-amino-2-methyl-1H-pyrazol-5-one",113.058914,"C4H7N3O","Cn1c(cc(=O)[nH]1)N","InChI=1S/C4H7N3O/c1-7-3(5)2-4(8)6-7/h2H,5H2,1H3,(H,6,8)","IRPLFUJJHBGEAL-UHFFFAOYSA-N"
304506,"5-Ethyl-1,3,4-oxadiazol-2-amine",113.058914,"C4H7N3O","CCc1nnc(o1)N","InChI=1S/C4H7N3O/c1-2-3-6-7-4(5)8-3/h2H2,1H3,(H2,5,7)","XHSTYRIUVMKGDX-UHFFFAOYSA-N"
316114,"4-(Methoxymethyl)-2H-1,2,3-triazole",113.058914,"C4H7N3O","COCc1cn[nH]n1","InChI=1S/C4H7N3O/c1-8-3-4-2-5-7-6-4/h2H,3H2,1H3,(H,5,6,7)","ZBKSMRSTJZXXJG-UHFFFAOYSA-N"
342768,"5-Ethyl-1,2-dihydro-3H-1,2,4-triazol-3-one",113.058914,"C4H7N3O","CCc1[nH][nH]c(=O)n1","InChI=1S/C4H7N3O/c1-2-3-5-4(8)7-6-3/h2H2,1H3,(H2,5,6,7,8)","NSYKPXCGPMWPGL-UHFFFAOYSA-N"
376081,"3-Methyl-1,2-oxazole-4,5-diamine",113.058914,"C4H7N3O","Cc1c(c(on1)N)N","InChI=1S/C4H7N3O/c1-2-3(5)4(6)8-7-2/h5-6H2,1H3","SHIVHMANNZELCE-UHFFFAOYSA-N"
384864,"4-Amino-3,4-dihydro-2(1H)-pyrimidinone",113.058914,"C4H7N3O","C1=CNC(=O)NC1N","InChI=1S/C4H7N3O/c5-3-1-2-6-4(8)7-3/h1-3H,5H2,(H2,6,7,8)","VHCGYVGVWSLOHQ-UHFFFAOYSA-N"
479271,"2-(1H-1,2,4-Triazol-1-yl)ethanol",113.058914,"C4H7N3O","c1ncn(n1)CCO","InChI=1S/C4H7N3O/c8-2-1-7-4-5-3-6-7/h3-4,8H,1-2H2","CLVALLQETQTQMV-UHFFFAOYSA-N"
491894,"furazane, 3-aminomethyl-4-methyl-",113.058914,"C4H7N3O","Cc1c(non1)CN","InChI=1S/C4H7N3O/c1-3-4(2-5)7-8-6-3/h2,5H2,1H3","YKTPXKSUWIQBML-UHFFFAOYSA-N"
1155614,"4,5-Dihydro-1H-imidazole-2-carboxamide",113.058914,"C4H7N3O","C1CN=C(N1)C(=O)N","InChI=1S/C4H7N3O/c5-3(8)4-6-1-2-7-4/h1-2H2,(H2,5,8)(H,6,7)","HMEROXQXWQOSPH-UHFFFAOYSA-N"
2057648,"2-Cyano-N-methylacetohydrazide",113.058914,"C4H7N3O","CN(C(=O)CC#N)N","InChI=1S/C4H7N3O/c1-7(6)4(8)2-3-5/h2,6H2,1H3","YJRJDSITBTYELB-UHFFFAOYSA-N"
2064698,"Methyl N-cyano-N'-methylcarbamimidate",113.058914,"C4H7N3O","C/N=C(/NC#N)\OC","InChI=1S/C4H7N3O/c1-6-4(8-2)7-3-5/h1-2H3,(H,6,7)","CMIPWACBRYWGPN-UHFFFAOYSA-N"
2293238,"3-Azido-2-butanone",113.058914,"C4H8N3O","CC(C(=O)C)N=[N+]=[N-]","InChI=1S/C4H7N3O/c1-3(4(2)8)6-7-5/h3H,1-2H3","NRZNTCITZHGXIJ-UHFFFAOYSA-N"
2339819,"5-(Aminomethyl)-1,2-dihydro-3H-pyrazol-3-one",113.058914,"C4H7N3O","c1c([nH][nH]c1=O)CN","InChI=1S/C4H7N3O/c5-2-3-1-4(8)7-6-3/h1H,2,5H2,(H2,6,7,8)","MKSFCAQPDWJPND-UHFFFAOYSA-N"
2605852,"5-Methyl-2,5-dihydro-1,2,4-triazin-6(1H)-one",113.058914,"C4H7N3O","CC1C(=O)NNC=N1","InChI=1S/C4H7N3O/c1-3-4(8)7-6-2-5-3/h2-3H,1H3,(H,5,6)(H,7,8)","RCODHUVIIXVELQ-UHFFFAOYSA-N"
2778729,"1-(Methoxymethyl)-1H-1,2,4-triazole",113.058914,"C4H7N3O","COCn1cncn1","InChI=1S/C4H7N3O/c1-8-4-7-3-5-2-6-7/h2-3H,4H2,1H3","LLHLZYVFWKUSBH-UHFFFAOYSA-N"
3023120,"2,4-Dimethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",113.058914,"C4H7N3O","Cn1cnn(c1=O)C","InChI=1S/C4H7N3O/c1-6-3-5-7(2)4(6)8/h3H,1-2H3","CRPQCKJNWOETJL-UHFFFAOYSA-N"
4325730,"2-(2-Propen-1-ylidene)hydrazinecarboxamide",113.058914,"C4H7N3O","C=CC=NNC(=O)N","InChI=1S/C4H7N3O/c1-2-3-6-7-4(5)8/h2-3H,1H2,(H3,5,7,8)","JINIFJVTIITOJT-UHFFFAOYSA-N"
4482431,"3-Methyl-2,5-dihydro-1,2,4-triazin-6(1H)-one",113.058914,"C4H7N3O","CC1=NCC(=O)NN1","InChI=1S/C4H7N3O/c1-3-5-2-4(8)7-6-3/h2H2,1H3,(H,5,6)(H,7,8)","JYMMMQBRIIRYHF-UHFFFAOYSA-N"
4589846,"(1Z)-3-Amino-1-diazonio-1-buten-2-olate",113.058914,"C4H7N3O","CC(/C(=C/[N+]#N)/[O-])N","InChI=1S/C4H7N3O/c1-3(5)4(8)2-7-6/h2-3H,5H2,1H3/b4-2-","OQFMMVBBTPLUAE-RQOWECAXSA-N"
7883826,"(2E)-2-(2-Propen-1-ylidene)hydrazinecarboxamide",113.058914,"C4H7N3O","O=C(N)N/N=C/C=C","InChI=1S/C4H7N3O/c1-2-3-6-7-4(5)8/h2-3H,1H2,(H3,5,7,8)/b6-3+","JINIFJVTIITOJT-ZZXKWVIFSA-N"
8164819,"1H-1,2,3 TRIAZOLE-1-ETHANOL",113.058914,"C4H7N3O","C1=CN(N=N1)CCO","InChI=1S/C4H7N3O/c8-4-3-7-2-1-5-6-7/h1-2,8H,3-4H2","PKHVUMMJMYKRNO-UHFFFAOYSA-N"
8164820,"4-hydroxy-3,5-dimethyl-1,2,4-triazole",113.058914,"C4H7N3O","On1c(nnc1C)C","InChI=1S/C4H7N3O/c1-3-5-6-4(2)7(3)8/h8H,1-2H3","QPSOQJFXVRIXDK-UHFFFAOYSA-N"
8278667,"2-(2H-1,2,3-Triazol-2-yl)ethanol",113.058914,"C4H7N3O","C1=NN(N=C1)CCO","InChI=1S/C4H7N3O/c8-4-3-7-5-1-2-6-7/h1-2,8H,3-4H2","ZZZSPTGFCIPYFO-UHFFFAOYSA-N"
8373156,"4-Amino-5-methyl-1,2-dihydro-3H-pyrazol-3-one",113.058914,"C4H7N3O","CC1=NNC(=C1N)O","InChI=1S/C4H7N3O/c1-2-3(5)4(8)7-6-2/h5H2,1H3,(H2,6,7,8)","VUYWQWFWWHLKFG-UHFFFAOYSA-N"
8436548,"(2S,3S)-2-(azidomethyl)-3-methyl-oxirane",113.058914,"C4H7N3O","[N-]=[N+]=N/C[C@@H]1O[C@H]1C","InChI=1S/C4H7N3O/c1-3-4(8-3)2-6-7-5/h3-4H,2H2,1H3/t3-,4-/m0/s1","FPEMDAKNKAUEKQ-IMJSIDKUSA-N"
8527122,"(1-Methyl-1H-1,2,4-triazol-3-yl)methanol",113.058914,"C4H7N3O","CN1C=NC(=N1)CO","InChI=1S/C4H7N3O/c1-7-3-5-4(2-8)6-7/h3,8H,2H2,1H3","WEDYTSQNYJKOPC-UHFFFAOYSA-N"
8572249,"N-Hydroxy-1-(1H-imidazol-2-yl)methanamine",113.058914,"C4H7N3O","ONCc1nccn1","InChI=1S/C4H7N3O/c8-7-3-4-5-1-2-6-4/h1-2,7-8H,3H2,(H,5,6)","HXZURPXXEBVTFX-UHFFFAOYSA-N"
8617089,"N,5-Dimethyl-1,2,4-oxadiazol-3-amine",113.058914,"C4H7N3O","n1c(onc1NC)C","InChI=1S/C4H7N3O/c1-3-6-4(5-2)7-8-3/h1-2H3,(H,5,7)","UANQHMWHDXKGJB-UHFFFAOYSA-N"
8662225,"1-(Methoxymethyl)-1H-1,2,3-triazole",113.058914,"C4H7N3O","O(C)Cn1nncc1","InChI=1S/C4H7N3O/c1-8-4-7-3-2-5-6-7/h2-3H,4H2,1H3","IQSRRFMCWFOLHA-UHFFFAOYSA-N"
9019842,"1,2,4-oxadiazole-5-methanamine, 3-methyl-",113.058914,"C4H7N3O","n1c(onc1C)CN","InChI=1S/C4H7N3O/c1-3-6-4(2-5)8-7-3/h2,5H2,1H3","NPBUMVMXXGQOEG-UHFFFAOYSA-N"
9161381,"2-(Azidomethyl)-2-propen-1-ol",113.058914,"C4H7N3O","C=C(CN=[N+]=[N-])CO","InChI=1S/C4H7N3O/c1-4(3-8)2-6-7-5/h8H,1-3H2","LRYNQHFMVXJANC-UHFFFAOYSA-N"
9237698,"2-Amino-3-methyl-3,5-dihydro-4H-imidazol-4-one",113.058914,"C4H7N3O","CN1C(=O)CN=C1N","InChI=1S/C4H7N3O/c1-7-3(8)2-6-4(7)5/h2H2,1H3,(H2,5,6)","YGOBAQVJSUDQFU-UHFFFAOYSA-N"
9248526,"(1-Methyl-1H-1,2,4-triazol-5-yl)methanol",113.058914,"C4H7N3O","CN1C(=NC=N1)CO","InChI=1S/C4H7N3O/c1-7-4(2-8)5-3-6-7/h3,8H,2H2,1H3","QUAQZVSGXQVIEP-UHFFFAOYSA-N"
9334410,"(Z)-2-Diazonio-1-(dimethylamino)ethenolate",113.058914,"C4H7N3O","[O-]/C(=C\[N+]#N)N(C)C","InChI=1S/C4H7N3O/c1-7(2)4(8)3-6-5/h3H,1-2H3/b4-3-","BOXIVVBWBQNBAB-ARJAWSKDSA-N"
9392297,"3-Azidotetrahydrofuran",113.058914,"C4H7N3O","[N-]=[N+]=N/C1CCOC1","InChI=1S/C4H7N3O/c5-7-6-4-1-2-8-3-4/h4H,1-3H2","AHFRAHLUYUUOBA-UHFFFAOYSA-N"
9833024,"1-Cyano-3-ethylurea",113.058914,"C4H7N3O","N#CNC(=O)NCC","InChI=1S/C4H7N3O/c1-2-6-4(8)7-3-5/h2H2,1H3,(H2,6,7,8)","MLDNCHBTXAEJMN-UHFFFAOYSA-N"
9979377,"4-Azidobutanal",113.058914,"C4H7N3O","[N-]=[N+]=N\CCCC=O","InChI=1S/C4H7N3O/c5-7-6-3-1-2-4-8/h4H,1-3H2","GUKMTOCDCXCCTM-UHFFFAOYSA-N"
