"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
7677,"Cyclohexylamine",99.104797,"C6H13N","C1CCC(CC1)N","InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2","PAFZNILMFXTMIY-UHFFFAOYSA-N"
7686,"2-Pipecoline",99.104797,"C6H13N","CC1CCCCN1","InChI=1S/C6H13N/c1-6-4-2-3-5-7-6/h6-7H,2-5H2,1H3","NNWUEBIEOFQMSS-UHFFFAOYSA-N"
7828,"Azepane",99.104797,"C6H13N","C1CCCNCC1","InChI=1S/C6H13N/c1-2-4-6-7-5-3-1/h7H,1-6H2","ZSIQJIWKELUFRJ-UHFFFAOYSA-N"
11788,"1-Methylpiperidine",99.104797,"C6H13N","CN1CCCCC1","InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3","PAMIQIKDUOTOBW-UHFFFAOYSA-N"
13629,"1-Butylaziridine",99.104797,"C6H13N","CCCCN1CC1","InChI=1S/C6H13N/c1-2-3-4-7-5-6-7/h2-6H2,1H3","XIEJPTDTTYFCJM-UHFFFAOYSA-N"
18770,"1-tert-Butylaziridine",99.104797,"C6H13N","CC(C)(C)N1CC1","InChI=1S/C6H13N/c1-6(2,3)7-4-5-7/h4-5H2,1-3H3","BBFCEQFUUOTJPD-UHFFFAOYSA-N"
20948,"N,N,2-Trimethyl-2-propen-1-amine",99.104797,"C6H13N","CC(=C)CN(C)C","InChI=1S/C6H13N/c1-6(2)5-7(3)4/h1,5H2,2-4H3","GKZOJSZSGYEWSA-UHFFFAOYSA-N"
62589,"4-Pipecoline",99.104797,"C6H13N","CC1CCNCC1","InChI=1S/C6H13N/c1-6-2-4-7-5-3-6/h6-7H,2-5H2,1H3","UZOFELREXGAFOI-UHFFFAOYSA-N"
67042,"(1E)-N-Ethyl-2-methyl-1-propanimine",99.104797,"C6H13N","CC/N=C/C(C)C","InChI=1S/C6H13N/c1-4-7-5-6(2)3/h5-6H,4H2,1-3H3/b7-5+","BBFMJBUMAHUJAH-FNORWQNLSA-N"
71413,".beta.-Pipecoline",99.104797,"C6H13N","CC1CCCNC1","InChI=1S/C6H13N/c1-6-3-2-4-7-5-6/h6-7H,2-5H2,1H3","JEGMWWXJUXDNJN-UHFFFAOYSA-N"
72264,"2,2,3,3-Tetramethylaziridine",99.104797,"C6H13N","CC1(C(N1)(C)C)C","InChI=1S/C6H13N/c1-5(2)6(3,4)7-5/h7H,1-4H3","HMDSXVUTCZSHDZ-UHFFFAOYSA-N"
72402,"1-Cyclopentylmethanamine",99.104797,"C6H13N","C1CCC(C1)CN","InChI=1S/C6H13N/c7-5-6-3-1-2-4-6/h6H,1-5,7H2","UBLYEVLMRSPMOG-UHFFFAOYSA-N"
73798,"1-Ethylpyrrolidine",99.104797,"C6H13N","CCN1CCCC1","InChI=1S/C6H13N/c1-2-7-5-3-4-6-7/h2-6H2,1H3","ONQBOTKLCMXPOF-UHFFFAOYSA-N"
79014,"N-Ethyl-2-methyl-2-propen-1-amine",99.104797,"C6H13N","CCNCC(=C)C","InChI=1S/C6H13N/c1-4-7-5-6(2)3/h7H,2,4-5H2,1,3H3","AXTLFVLHXSDZOW-UHFFFAOYSA-N"
86698,"2,5-Dimethylpyrrolidine",99.104797,"C6H13N","CC1CCC(N1)C","InChI=1S/C6H13N/c1-5-3-4-6(2)7-5/h5-7H,3-4H2,1-2H3","ZEBFPAXSQXIPNF-UHFFFAOYSA-N"
92559,"1,2-Dimethylpyrrolidine",99.104797,"C6H13N","CC1CCCN1C","InChI=1S/C6H13N/c1-6-4-3-5-7(6)2/h6H,3-5H2,1-2H3","PXHHIBMOFPCBJQ-UHFFFAOYSA-N"
120817,"(1E)-N-Ethyl-1-butanimine",99.104797,"C6H13N","CCC/C=N/CC","InChI=1S/C6H13N/c1-3-5-6-7-4-2/h6H,3-5H2,1-2H3/b7-6+","BLARBXSPVIJGSG-VOTSOKGWSA-N"
121541,"N-Isopropyl-2-propanimine",99.104797,"C6H13N","CC(C)N=C(C)C","InChI=1S/C6H13N/c1-5(2)7-6(3)4/h5H,1-4H3","UCJOAMOXKLJGST-UHFFFAOYSA-N"
122459,"N,N,2-Trimethylpropenylamine",99.104797,"C6H13N","CC(=CN(C)C)C","InChI=1S/C6H13N/c1-6(2)5-7(3)4/h5H,1-4H3","IHSJXWLJYTXOCL-UHFFFAOYSA-N"
122500,"2UNX1&1&1",99.104797,"C6H13N","C/C=N/C(C)(C)C","InChI=1S/C6H13N/c1-5-7-6(2,3)4/h5H,1-4H3/b7-5+","RPVBCVQKDPOMII-FNORWQNLSA-N"
122654,"(1E)-N-Propyl-1-propanimine",99.104797,"C6H13N","CCC/N=C/CC","InChI=1S/C6H13N/c1-3-5-7-6-4-2/h5H,3-4,6H2,1-2H3/b7-5+","YMMCFOVWHFLGON-FNORWQNLSA-N"
124256,"N-Propyl-2-propanimine",99.104797,"C6H13N","CCCN=C(C)C","InChI=1S/C6H13N/c1-4-5-7-6(2)3/h4-5H2,1-3H3","NBIJUKASRCFXDY-UHFFFAOYSA-N"
124783,"(1E)-N-Isopropyl-1-propanimine",99.104797,"C6H13N","CC/C=N/C(C)C","InChI=1S/C6H13N/c1-4-5-7-6(2)3/h5-6H,4H2,1-3H3/b7-5+","MWNYUKAEXWNOHP-FNORWQNLSA-N"
174966,"5-Hexen-2-amine",99.104797,"C6H13N","CC(CCC=C)N","InChI=1S/C6H13N/c1-3-4-5-6(2)7/h3,6H,1,4-5,7H2,2H3","PBEJOEYAKXHDJT-UHFFFAOYSA-N"
207519,"1,3-Dimethylpyrrolidine",99.104797,"C6H13N","CC1CCN(C1)C","InChI=1S/C6H13N/c1-6-3-4-7(2)5-6/h6H,3-5H2,1-2H3","IGNGFGXAWDQJGP-UHFFFAOYSA-N"
216904,"3-Methyl-1-penten-3-amine",99.104797,"C6H13N","CCC(C)(C=C)N","InChI=1S/C6H13N/c1-4-6(3,7)5-2/h4H,1,5,7H2,2-3H3","XPCLPRGWHXAORE-UHFFFAOYSA-N"
216905,"1-Hexen-3-amine",99.104797,"C6H13N","CCCC(C=C)N","InChI=1S/C6H13N/c1-3-5-6(7)4-2/h4,6H,2-3,5,7H2,1H3","WYAKBMRDDZSEPR-UHFFFAOYSA-N"
362624,"2-Methylcyclopentanamine",99.104797,"C6H13N","CC1CCCC1N","InChI=1S/C6H13N/c1-5-3-2-4-6(5)7/h5-6H,2-4,7H2,1H3","TYDMZADCGUWTCH-UHFFFAOYSA-N"
367265,"2,2-Dimethylpyrrolidine",99.104797,"C6H13N","CC1(CCCN1)C","InChI=1S/C6H13N/c1-6(2)4-3-5-7-6/h7H,3-5H2,1-2H3","PHODFIDDEBEGCS-UHFFFAOYSA-N"
454447,"1-Methylcyclopentanamine",99.104797,"C6H13N","CC1(CCCC1)N","InChI=1S/C6H13N/c1-6(7)4-2-3-5-6/h2-5,7H2,1H3","TWASBYPJZBHZQJ-UHFFFAOYSA-N"
465116,"4-Methyl-3-penten-1-amine",99.104797,"C6H13N","CC(=CCCN)C","InChI=1S/C6H13N/c1-6(2)4-3-5-7/h4H,3,5,7H2,1-2H3","KGNHJDRDIDXUHY-UHFFFAOYSA-N"
465141,"5-Hexen-1-amine",99.104797,"C6H13N","C=CCCCCN","InChI=1S/C6H13N/c1-2-3-4-5-6-7/h2H,1,3-7H2","FICBXRYQMBKLJJ-UHFFFAOYSA-N"
466623,"(1E)-N-Methyl-1-pentanimine",99.104797,"C6H13N","CCCC/C=N/C","InChI=1S/C6H13N/c1-3-4-5-6-7-2/h6H,3-5H2,1-2H3/b7-6+","JSKXMLIGHRDKBE-VOTSOKGWSA-N"
471686,"Methylpent-4-enylamine",99.104797,"C6H13N","CNCCCC=C","InChI=1S/C6H13N/c1-3-4-5-6-7-2/h3,7H,1,4-6H2,2H3","SQULHOYRZBAPJF-UHFFFAOYSA-N"
474135,"(1E)-N-Butylethanimine",99.104797,"C6H13N","CCCC/N=C/C","InChI=1S/C6H13N/c1-3-5-6-7-4-2/h4H,3,5-6H2,1-2H3/b7-4+","NKGJJLDEORZFKJ-QPJJXVBHSA-N"
474197,"(2E)-N-Methyl-2-pentanimine",99.104797,"C6H13N","CCC/C(=N/C)/C","InChI=1S/C6H13N/c1-4-5-6(2)7-3/h4-5H2,1-3H3/b7-6+","UEPIYUCDDIRSGY-VOTSOKGWSA-N"
476028,"N,N-Dimethyl-3-buten-1-amine",99.104797,"C6H13N","CN(C)CCC=C","InChI=1S/C6H13N/c1-4-5-6-7(2)3/h4H,1,5-6H2,2-3H3","GKTJBVBQYZOQNJ-UHFFFAOYSA-N"
479057,"1-Propylazetidine ",99.104797,"C6H13N","CCCN1CCC1","InChI=1S/C6H13N/c1-2-4-7-5-3-6-7/h2-6H2,1H3","LMACASLSRDMFIR-UHFFFAOYSA-N"
485358,"2-Isopropyl-3-methylaziridine ",99.104797,"C6H13N","CC1C(N1)C(C)C","InChI=1S/C6H13N/c1-4(2)6-5(3)7-6/h4-7H,1-3H3","NUSJSUXXQYWACW-UHFFFAOYSA-N"
485375,"N-Ethyl-N-methyl-2-propen-1-amine",99.104797,"C6H13N","CCN(C)CC=C","InChI=1S/C6H13N/c1-4-6-7(3)5-2/h4H,1,5-6H2,2-3H3","LQVWXFHNYICENT-UHFFFAOYSA-N"
485542,"2-Cyclopropyl-2-propanamine",99.104797,"C6H13N","CC(C)(C1CC1)N","InChI=1S/C6H13N/c1-6(2,7)5-3-4-5/h5H,3-4,7H2,1-2H3","OOXIEUXBOSSXJM-UHFFFAOYSA-N"
553131,"(2R)-2-Methylpiperidine",99.104797,"C6H13N","C[C@@H]1CCCCN1","InChI=1S/C6H13N/c1-6-4-2-3-5-7-6/h6-7H,2-5H2,1H3/t6-/m1/s1","NNWUEBIEOFQMSS-ZCFIWIBFSA-N"
553243,"(1E)-N,2,2-Trimethyl-1-propanimine",99.104797,"C6H13N","CC(C)(C)/C=N/C","InChI=1S/C6H13N/c1-6(2,3)5-7-4/h5H,1-4H3/b7-5+","PXHKEAWDVXYEOT-FNORWQNLSA-N"
556420,"(3S)-3-Methylpiperidine",99.104797,"C6H13N","C[C@H]1CCCNC1","InChI=1S/C6H13N/c1-6-3-2-4-7-5-6/h6-7H,2-5H2,1H3/t6-/m0/s1","JEGMWWXJUXDNJN-LURJTMIESA-N"
557008,"(2R,5R)-2,5-Dimethylpyrrolidine",99.104797,"C6H13N","C[C@@H]1CC[C@H](N1)C","InChI=1S/C6H13N/c1-5-3-4-6(2)7-5/h5-7H,3-4H2,1-2H3/t5-,6-/m1/s1","ZEBFPAXSQXIPNF-PHDIDXHHSA-N"
557527,"(2R)-2-Methyl-4-penten-1-amine",99.104797,"C6H13N","C[C@H](CC=C)CN","InChI=1S/C6H13N/c1-3-4-6(2)5-7/h3,6H,1,4-5,7H2,2H3/t6-/m1/s1","VWHLBDDPVAKXDL-ZCFIWIBFSA-N"
557534,"2,2-Dimethyl-3-buten-1-amine",99.104797,"C6H13N","CC(C)(CN)C=C","InChI=1S/C6H13N/c1-4-6(2,3)5-7/h4H,1,5,7H2,2-3H3","QYINCSDHMJPJRV-UHFFFAOYSA-N"
3205177,"1-Cyclopropyl-1-propanamine",99.104797,"C6H13N","CCC(C1CC1)N","InChI=1S/C6H13N/c1-2-6(7)5-3-4-5/h5-6H,2-4,7H2,1H3","OXXSMQHKMPTBAR-UHFFFAOYSA-N"
3491771,"1-Cyclopropyl-N,N-dimethylmethanamine",99.104797,"C6H13N","CN(C)CC1CC1","InChI=1S/C6H13N/c1-7(2)5-6-3-4-6/h6H,3-5H2,1-2H3","DQVRGSIXUGZCOV-UHFFFAOYSA-N"
4173501,"2-Ethylpyrrolidine",99.104797,"C6H13N","CCC1CCCN1","InChI=1S/C6H13N/c1-2-6-4-3-5-7-6/h6-7H,2-5H2,1H3","JFZLDRUSMYBXRI-UHFFFAOYSA-N"
4482032,"(2R,5S)-2,5-Dimethylpyrrolidine",99.104797,"C6H13N","C[C@@H]1CC[C@@H](N1)C","InChI=1S/C6H13N/c1-5-3-4-6(2)7-5/h5-7H,3-4H2,1-2H3/t5-,6+","ZEBFPAXSQXIPNF-OLQVQODUSA-N"
4517279,"(1E)-N,N-Dimethyl-1-buten-1-amine ",99.104797,"C6H13N","CC/C=C/N(C)C","InChI=1S/C6H13N/c1-4-5-6-7(2)3/h5-6H,4H2,1-3H3/b6-5+","XWAKKPDDQPWGAQ-AATRIKPKSA-N"
4577802,"Hex-4-enylamine",99.104797,"C6H13N","C/C=C/CCCN","InChI=1S/C6H13N/c1-2-3-4-5-6-7/h2-3H,4-7H2,1H3/b3-2+","AZJUGPLDDAZZTB-NSCUHMNNSA-N"
4932859,"(2S)-2-Methylpiperidine",99.104797,"C6H13N","C[C@H]1CCCCN1","InChI=1S/C6H13N/c1-6-4-2-3-5-7-6/h6-7H,2-5H2,1H3/t6-/m0/s1","NNWUEBIEOFQMSS-LURJTMIESA-N"
4932860,"(3R)-3-Methylpiperidine",99.104797,"C6H13N","C[C@@H]1CCCNC1","InChI=1S/C6H13N/c1-6-3-2-4-7-5-6/h6-7H,2-5H2,1H3/t6-/m1/s1","JEGMWWXJUXDNJN-ZCFIWIBFSA-N"
4937951,"N,N-Dimethyl-2-buten-2-amine",99.104797,"C6H13N","CC=C(C)N(C)C","InChI=1S/C6H13N/c1-5-6(2)7(3)4/h5H,1-4H3","CBRZNLBBYHTWRO-UHFFFAOYSA-N"
5362138,"(2S,5S)-2,5-Dimethylpyrrolidine",99.104797,"C6H13N","N1[C@@H](C)CC[C@@H]1C","InChI=1S/C6H13N/c1-5-3-4-6(2)7-5/h5-7H,3-4H2,1-2H3/t5-,6-/m0/s1","ZEBFPAXSQXIPNF-WDSKDSINSA-N"
5383574,"N-Methylcyclopentanamine",99.104797,"C6H13N","CNC1CCCC1","InChI=1S/C6H13N/c1-7-6-4-2-3-5-6/h6-7H,2-5H2,1H3","KKTBUCVHSCATGB-UHFFFAOYSA-N"
8461248,"(2S)-2-[(2R)-2-Butanyl]aziridine",99.104797,"C6H13N","N1[C@@H](C(C)CC)C1","InChI=1S/C6H13N/c1-3-5(2)6-4-7-6/h5-7H,3-4H2,1-2H3/t5?,6-/m1/s1","VDEQLLKAJJBYKS-PRJDIBJQSA-N"
8667755,"(2Z)-2-Hexen-1-amine",99.104797,"C6H13N","C(=C\CN)\CCC","InChI=1S/C6H13N/c1-2-3-4-5-6-7/h4-5H,2-3,6-7H2,1H3/b5-4-","JMPKRWPMDAFCGM-PLNGDYQASA-N"
8667757,"(2E)-2-Hexen-1-amine",99.104797,"C6H13N","C(=C/CN)\CCC","InChI=1S/C6H13N/c1-2-3-4-5-6-7/h4-5H,2-3,6-7H2,1H3/b5-4+","JMPKRWPMDAFCGM-SNAWJCMRSA-N"
9019637,"(1S)-1-cyclopropylpropan-1-amine",99.104797,"C6H13N","N[C@@H](CC)C1CC1","InChI=1S/C6H13N/c1-2-6(7)5-3-4-5/h5-6H,2-4,7H2,1H3/t6-/m0/s1","OXXSMQHKMPTBAR-LURJTMIESA-N"
9063105,"2,4-Dimethylpyrrolidine",99.104797,"C6H13N","N1C(C)CC(C)C1","InChI=1S/C6H13N/c1-5-3-6(2)7-4-5/h5-7H,3-4H2,1-2H3","DUOJVRWFIHNZTJ-UHFFFAOYSA-N"
9106611,"(2R)-2-Ethylpyrrolidine",99.104797,"C6H13N","N1[C@H](CC)CCC1","InChI=1S/C6H13N/c1-2-6-4-3-5-7-6/h6-7H,2-5H2,1H3/t6-/m1/s1","JFZLDRUSMYBXRI-ZCFIWIBFSA-N"
9150618,"2-Methyl-4-penten-1-amine",99.104797,"C6H13N","C=C\CC(C)CN","InChI=1S/C6H13N/c1-3-4-6(2)5-7/h3,6H,1,4-5,7H2,2H3","VWHLBDDPVAKXDL-UHFFFAOYSA-N"
9150734,"N-Isopropylcyclopropanamine",99.104797,"C6H13N","CC(C)NC1CC1","InChI=1S/C6H13N/c1-5(2)7-6-3-4-6/h5-7H,3-4H2,1-2H3","XWGXFOVSOYMSGT-UHFFFAOYSA-N"
9214373,"(2E)-2-Hexanimine",99.104797,"C6H13N","[N@H]=C(C)CCCC","InChI=1S/C6H13N/c1-3-4-5-6(2)7/h7H,3-5H2,1-2H3","NSPDJEOPQFFSKG-UHFFFAOYSA-N"
9280454,"4-Methyl-1-penten-3-amine",99.104797,"C6H13N","C=C\C(N)C(C)C","InChI=1S/C6H13N/c1-4-6(7)5(2)3/h4-6H,1,7H2,2-3H3","QOKTTWTYXHGNCZ-UHFFFAOYSA-N"
9396397,"(2E)-3,3-Dimethyl-2-butanimine",99.104797,"C6H13N","[N@H]=C(C)C(C)(C)C","InChI=1S/C6H13N/c1-5(7)6(2,3)4/h7H,1-4H3","FLOXAHMOMHDWSA-UHFFFAOYSA-N"
9507443,"(3S)-4-Methyl-1-penten-3-amine",99.104797,"C6H13N","C=C\[C@@H](N)C(C)C","InChI=1S/C6H13N/c1-4-6(7)5(2)3/h4-6H,1,7H2,2-3H3/t6-/m1/s1","QOKTTWTYXHGNCZ-ZCFIWIBFSA-N"
9519877,"(3S)-1-Hexen-3-amine",99.104797,"C6H13N","C=C\[C@@H](N)CCC","InChI=1S/C6H13N/c1-3-5-6(7)4-2/h4,6H,2-3,5,7H2,1H3/t6-/m1/s1","WYAKBMRDDZSEPR-ZCFIWIBFSA-N"
9541874,"(2S)-2-[(2S)-2-Butanyl]aziridine",99.104797,"C6H13N","N1[C@@H]([C@@H](C)CC)C1","InChI=1S/C6H13N/c1-3-5(2)6-4-7-6/h5-7H,3-4H2,1-2H3/t5-,6+/m0/s1","VDEQLLKAJJBYKS-NTSWFWBYSA-N"
9541875,"(3R)-1-Hexen-3-amine",99.104797,"C6H13N","C=C\[C@H](N)CCC","InChI=1S/C6H13N/c1-3-5-6(7)4-2/h4,6H,2-3,5,7H2,1H3/t6-/m0/s1","WYAKBMRDDZSEPR-LURJTMIESA-N"
9609782,"(2S)-1,2-Dimethylpyrrolidine",99.104797,"C6H13N","N1(C)[C@@H](C)CCC1","InChI=1S/C6H13N/c1-6-4-3-5-7(6)2/h6H,3-5H2,1-2H3/t6-/m0/s1","PXHHIBMOFPCBJQ-LURJTMIESA-N"
9621215,"2,3-Dimethyl-3-buten-2-amine",99.104797,"C6H13N","C=C(/C)C(N)(C)C","InChI=1S/C6H13N/c1-5(2)6(3,4)7/h1,7H2,2-4H3","ZBPZPZJQEGFHSB-UHFFFAOYSA-N"
9710330,"(1R,2S)-2-Ethyl-N-methylcyclopropanamine",99.104797,"C6H13N","N(C)[C@H]1[C@@H](CC)C1","InChI=1S/C6H13N/c1-3-5-4-6(5)7-2/h5-7H,3-4H2,1-2H3/t5-,6+/m0/s1","PTOQZSFXUOHRNJ-NTSWFWBYSA-N"
9717550,"(1S,2R)-N,2-Dimethylcyclobutanamine",99.104797,"C6H13N","N(C)[C@H]1CC[C@H]1C","InChI=1S/C6H13N/c1-5-3-4-6(5)7-2/h5-7H,3-4H2,1-2H3/t5-,6+/m1/s1","BIPYRARQAGMXCW-RITPCOANSA-N"
9818663,"(1R,2S)-N,2-Dimethylcyclobutanamine",99.104797,"C6H13N","N(C)[C@@H]1CC[C@@H]1C","InChI=1S/C6H13N/c1-5-3-4-6(5)7-2/h5-7H,3-4H2,1-2H3/t5-,6+/m0/s1","BIPYRARQAGMXCW-NTSWFWBYSA-N"
9943187,"(2S)-4-Methyl-3-penten-2-amine",99.104797,"C6H13N","C(=C\[C@@H](N)C)(\C)C","InChI=1S/C6H13N/c1-5(2)4-6(3)7/h4,6H,7H2,1-3H3/t6-/m0/s1","JTCGDHCDYGOMRQ-LURJTMIESA-N"
9962940,"(3R,4E)-4-Hexen-3-amine",99.104797,"C6H13N","C(=C/[C@H](N)CC)\C","InChI=1S/C6H13N/c1-3-5-6(7)4-2/h3,5-6H,4,7H2,1-2H3/b5-3+/t6-/m1/s1","BQDADOHFJBDCDD-MXTDHUQFSA-N"
9989952,"(1R,2R)-2-Methylcyclopentanamine",99.104797,"C6H13N","C[C@@H]1CCC[C@H]1N","InChI=1S/C6H13N/c1-5-3-2-4-6(5)7/h5-6H,2-4,7H2,1H3/t5-,6-/m1/s1","TYDMZADCGUWTCH-PHDIDXHHSA-N"
10178763,"N-Ethylmethylallylamine",99.104797,"C6H13N","CCCNCC=C","InChI=1S/C6H13N/c1-3-5-7-6-4-2/h3,7H,1,4-6H2,2H3","HUEPADWXXGLLSW-UHFFFAOYSA-N"
10179072,"3-Methylcyclopentanamine",99.104797,"C6H13N","CC1CCC(C1)N","InChI=1S/C6H13N/c1-5-2-3-6(7)4-5/h5-6H,2-4,7H2,1H3","LGSSDLSVHUCRFI-UHFFFAOYSA-N"
10233169,"N-Ethylidene t-butylamine",99.104797,"C6H13N","CC=NC(C)(C)C","InChI=1S/C6H13N/c1-5-7-6(2,3)4/h5H,1-4H3","RPVBCVQKDPOMII-UHFFFAOYSA-N"
10297751,"(2S,4S)-2,4-Dimethylpyrrolidine",99.104797,"C6H13N","C[C@H]1C[C@H](C)CN1","InChI=1S/C6H13N/c1-5-3-6(2)7-4-5/h5-7H,3-4H2,1-2H3/t5-,6-/m0/s1","DUOJVRWFIHNZTJ-WDSKDSINSA-N"
10297753,"(2S,3R)-2,3-Dimethylpyrrolidine",99.104797,"C6H13N","C[C@@H]1NCC[C@H]1C","InChI=1S/C6H13N/c1-5-3-4-7-6(5)2/h5-7H,3-4H2,1-2H3/t5-,6+/m1/s1","ZKCLHJUZGZWTNA-RITPCOANSA-N"
10303066,"2-(2-Methyl-2-propanyl)aziridine",99.104797,"C6H13N","CC(C)(C)C1CN1","InChI=1S/C6H13N/c1-6(2,3)5-4-7-5/h5,7H,4H2,1-3H3","GNQYSZWDGCPWFK-UHFFFAOYSA-N"
10303124,"(3E)-2-Methyl-3-penten-2-amine",99.104797,"C6H13N","C\C=C\C(C)(C)N","InChI=1S/C6H13N/c1-4-5-6(2,3)7/h4-5H,7H2,1-3H3/b5-4+","CJFQVOXPPCRHIC-SNAWJCMRSA-N"
