"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
6982,"2,5-Diaminotoluene",122.084396,"C7H10N2","Cc1cc(ccc1N)N","InChI=1S/C7H10N2/c1-5-4-6(8)2-3-7(5)9/h2-4H,8-9H2,1H3","OBCSAIDCZQSFQH-UHFFFAOYSA-N"
6991,"2,4-Diaminotoluene",122.084396,"C7H10N2","Cc1ccc(cc1N)N","InChI=1S/C7H10N2/c1-5-2-3-6(8)4-7(5)9/h2-4H,8-9H2,1H3","VOZKAJLKRJDJLL-UHFFFAOYSA-N"
7663,"3,5-diaminotoluene",122.084396,"C7H10N2","Cc1cc(cc(c1)N)N","InChI=1S/C7H10N2/c1-5-2-6(8)4-7(9)3-5/h2-4H,8-9H2,1H3","LVNDUJYMLJDECN-UHFFFAOYSA-N"
9908,"3,4-Diaminotoluene",122.084396,"C7H10N2","Cc1ccc(c(c1)N)N","InChI=1S/C7H10N2/c1-5-2-3-6(8)7(9)4-5/h2-4H,8-9H2,1H3","DGRGLKZMKWPMOH-UHFFFAOYSA-N"
10392,"Diallylcyanamide",122.084396,"C7H10N2","C=CCN(CC=C)C#N","InChI=1S/C7H10N2/c1-3-5-9(7-8)6-4-2/h3-4H,1-2,5-6H2","ZOSAYFDMPYAZTB-UHFFFAOYSA-N"
10415,"4-Methylphenylhydrazine",122.084396,"C7H10N2","Cc1ccc(cc1)NN","InChI=1S/C7H10N2/c1-6-2-4-7(9-8)5-3-6/h2-5,9H,8H2,1H3","XAMBIJWZVIZZOG-UHFFFAOYSA-N"
10684,"Benzylhydrazine",122.084396,"C7H10N2","c1ccc(cc1)CNN","InChI=1S/C7H10N2/c8-9-6-7-4-2-1-3-5-7/h1-5,9H,6,8H2","NHOWLEZFTHYCTP-UHFFFAOYSA-N"
12070,"Pimelonitrile",122.084396,"C7H10N2","C(CCC#N)CCC#N","InChI=1S/C7H10N2/c8-6-4-2-1-3-5-7-9/h1-5H2","LLEVMYXEJUDBTA-UHFFFAOYSA-N"
12650,"2,6-diaminotoluene",122.084396,"C7H10N2","Cc1c(cccc1N)N","InChI=1S/C7H10N2/c1-5-6(8)3-2-4-7(5)9/h2-4H,8-9H2,1H3","RLYCRLGLCUXUPO-UHFFFAOYSA-N"
13646,"4-Dimethylaminopyridine",122.084396,"C7H10N2","CN(C)c1ccncc1","InChI=1S/C7H10N2/c1-9(2)7-3-5-8-6-4-7/h3-6H,1-2H3","VHYFNPMBLIVWCW-UHFFFAOYSA-N"
