mz	intensity	rel.intensity	exactmass	formula	ionization
60.055700	19158144.00	9.27	60.055624	CH5N3	[M + H]+
68.024400	2064966.20	1.00	68.024323	C2HN3	[M + H]+
70.040000	448485.80	0.22	70.039974	C2H3N3	[M + H]+
81.044700	459195.20	0.22	81.045035	H7N3P	[M + H]+
83.060400	8710302.00	4.21	83.060685	H9N3P	[M + H]+
85.050800	32494888.00	15.72	85.050873	C2H4N4	[M + H]+
108.055600	6498543.50	3.14	108.055934	CH8N4P	[M + H]+
125.082100	17335174.00	8.39	125.082483	CH11N5P	[M + H]+
139.072500	2935127.50	1.42	139.072981	H9N7P	[M + H]+
140.093000	1145310.10	0.55	140.093382	CH12N6P	[M + H]+
150.077500	826622.30	0.40	150.077732	C2H10N6P	[M + H]+
167.103900	206684544.00	100.00	167.104281	C2H13N7P	[M + H]+
