mz	intensity	rel.intensity	exactmass	formula	ionization
56.049600	890015.80	0.43	56.049476	C3H5N	[M + H]+
58.065300	2683323.00	1.30	58.065126	C3H7N	[M + H]+
60.055700	19158144.00	9.27	60.056966	C3H7O	[M + H]+
68.024400	2064966.20	1.00	68.025666	C4H3O	[M + H]+
81.044700	459195.20	0.22	81.044725	C4H4N2	[M + H]+
83.060400	8710302.00	4.21	83.060375	C4H6N2	[M + H]+
85.050800	32494888.00	15.72	85.052215	C4H6NO	[M + H]+
110.046100	1230449.00	0.60	110.044784	C2H7NO4	[M + H]+
112.061700	576228.10	0.28	112.060434	C2H9NO4	[M + H]+
125.082100	17335174.00	8.39	125.080835	C4H12O4	[M + H]+
127.072700	814654.50	0.39	127.071333	C2H10N2O4	[M + H]+
139.072500	2935127.50	1.42	139.071333	C3H10N2O4	[M + H]+
140.093000	1145310.10	0.55	140.091734	C4H13NO4	[M + H]+
150.077500	826622.30	0.40	150.076084	C5H11NO4	[M + H]+
167.103900	206684544.00	100.00	167.102633	C5H14N2O4	[M + H]+
