mz	intensity	rel.intensity	exactmass	formula	ionization
56.049600	890015.80	0.43	56.049476	C3H5N	[M + H]+
58.065300	2683323.00	1.30	58.065126	C3H7N	[M + H]+
60.055700	19158144.00	9.27	60.055624	CH5N3	[M + H]+
68.024400	2064966.20	1.00	68.025666	C4H3O	[M + H]+
70.040000	448485.80	0.22	70.041316	C4H5O	[M + H]+
81.044700	459195.20	0.22	81.044725	C4H4N2	[M + H]+
83.060400	8710302.00	4.21	83.060375	C4H6N2	[M + H]+
85.050800	32494888.00	15.72	85.052215	C4H6NO	[M + H]+
100.086900	846321.00	0.41	100.086924	C4H9N3	[M + H]+
108.055600	6498543.50	3.14	108.056966	C7H7O	[M + H]+
110.046100	1230449.00	0.60	110.047464	C5H5N2O	[M + H]+
112.061700	576228.10	0.28	112.063114	C5H7N2O	[M + H]+
125.082100	17335174.00	8.39	125.083515	C7H10NO	[M + H]+
127.072700	814654.50	0.39	127.074013	C5H8N3O	[M + H]+
139.072500	2935127.50	1.42	139.074013	C6H8N3O	[M + H]+
140.093000	1145310.10	0.55	140.094414	C7H11N2O	[M + H]+
150.077500	826622.30	0.40	150.078764	C8H9N2O	[M + H]+
167.103900	206684544.00	100.00	167.105313	C8H12N3O	[M + H]+
