"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
11594,"4-Nitrobenzamide",166.037842,"C7H6N2O3","c1cc(ccc1C(=O)N)[N+](=O)[O-]","InChI=1S/C7H6N2O3/c8-7(10)5-1-3-6(4-2-5)9(11)12/h1-4H,(H2,8,10)","ZESWUEBPRPGMTP-UHFFFAOYSA-N"
73478,"3-nitro-4-nitrosotoluene",166.037842,"C7H6N2O3","Cc1ccc(c(c1)[N+](=O)[O-])N=O","InChI=1S/C7H6N2O3/c1-5-2-3-6(8-10)7(4-5)9(11)12/h2-4H,1H3","UORRERBFSRQJHQ-UHFFFAOYSA-N"
76930,"N-(4-Nitrophenyl)formamide",166.037842,"C7H6N2O3","c1cc(ccc1NC=O)[N+](=O)[O-]","InChI=1S/C7H6N2O3/c10-5-8-6-1-3-7(4-2-6)9(11)12/h1-5H,(H,8,10)","ZTCQFVRINYOPOH-UHFFFAOYSA-N"
84607,"2-Methyl-4-nitro-1-nitrosobenzene",166.037842,"C7H6N2O3","Cc1cc(ccc1N=O)[N+](=O)[O-]","InChI=1S/C7H6N2O3/c1-5-4-6(9(11)12)2-3-7(5)8-10/h2-4H,1H3","BJYRPJHNDONQKN-UHFFFAOYSA-N"
86743,"N-Hydroxy-1-(2-nitrophenyl)methanimine",166.037842,"C7H6N2O3","c1ccc(c(c1)C=NO)[N+](=O)[O-]","InChI=1S/C7H6N2O3/c10-8-5-6-3-1-2-4-7(6)9(11)12/h1-5,10H","IHMGDCCTWRRUDX-UHFFFAOYSA-N"
86963,"N-Hydroxy-1-(4-nitrophenyl)methanimine",166.037842,"C7H6N2O3","c1cc(ccc1C=NO)[N+](=O)[O-]","InChI=1S/C7H6N2O3/c10-8-5-6-1-3-7(4-2-6)9(11)12/h1-5,10H","WTLPAVBACRIHHC-UHFFFAOYSA-N"
132224,"1-Methyl-4-nitro-2-nitrosobenzene",166.037842,"C7H6N2O3","Cc1ccc(cc1N=O)[N+](=O)[O-]","InChI=1S/C7H6N2O3/c1-5-2-3-6(9(11)12)4-7(5)8-10/h2-4H,1H3","NOIZTWYRRJGHAL-UHFFFAOYSA-N"
132837,"1-Methyl-2-nitro-4-nitrosobenzene",166.037842,"C7H6N2O3","Cc1ccc(cc1[N+](=O)[O-])N=O","InChI=1S/C7H6N2O3/c1-5-2-3-6(8-10)4-7(5)9(11)12/h2-4H,1H3","ZSCJZIDMDQTVQL-UHFFFAOYSA-N"
136179,"2-Methyl-1-nitro-3-nitrosobenzene",166.037842,"C7H6N2O3","Cc1c(cccc1[N+](=O)[O-])N=O","InChI=1S/C7H6N2O3/c1-5-6(8-10)3-2-4-7(5)9(11)12/h2-4H,1H3","IMKJLWRKHDPLMZ-UHFFFAOYSA-N"
189942,"N-Hydroxy-1-(3-nitrophenyl)methanimine",166.037842,"C7H6N2O3","c1cc(cc(c1)[N+](=O)[O-])C=NO","InChI=1S/C7H6N2O3/c10-8-5-6-2-1-3-7(4-6)9(11)12/h1-5,10H","GQMMRLBWXCGBEV-UHFFFAOYSA-N"
196569,"5-(2-Furyl)-2,4-imidazolidinedione",166.037842,"C7H6N2O3","c1cc(oc1)C2C(=O)NC(=O)N2","InChI=1S/C7H6N2O3/c10-6-5(8-7(11)9-6)4-2-1-3-12-4/h1-3,5H,(H2,8,9,10,11)","FRUPUSOXGOBUQA-UHFFFAOYSA-N"
226697,"N-(2-Nitrophenyl)formamide",166.037842,"C7H6N2O3","c1ccc(c(c1)NC=O)[N+](=O)[O-]","InChI=1S/C7H6N2O3/c10-5-8-6-3-1-2-4-7(6)9(11)12/h1-5H,(H,8,10)","BZYJTNRRZYHLMH-UHFFFAOYSA-N"
227129,"2-Carbamoylnicotinic acid",166.037842,"C7H6N2O3","c1cc(c(nc1)C(=O)N)C(=O)O","InChI=1S/C7H6N2O3/c8-6(10)5-4(7(11)12)2-1-3-9-5/h1-3H,(H2,8,10)(H,11,12)","DIABIDLZBNRSPR-UHFFFAOYSA-N"
245873,"2-Amino-5-nitrobenzaldehyde",166.037842,"C7H6N2O3","c1cc(c(cc1[N+](=O)[O-])C=O)N","InChI=1S/C7H6N2O3/c8-7-2-1-6(9(11)12)3-5(7)4-10/h1-4H,8H2","BXXBQHFYNFGHNG-UHFFFAOYSA-N"
284177,"5-methoxybenzofuroxan",166.037842,"C7H6N2O3","COc1ccc2c(c1)no[n+]2[O-]","InChI=1S/C7H6N2O3/c1-11-5-2-3-7-6(4-5)8-12-9(7)10/h2-4H,1H3","ABSKHUSUHODMEL-UHFFFAOYSA-N"
289357,"4-Methylthieno[3,2-d][1,2,3]diazaborinin-1(2H)-ol",166.037216,"C6H7BN2OS","B1(c2ccsc2C(=NN1)C)O","InChI=1S/C6H7BN2OS/c1-4-6-5(2-3-11-6)7(10)9-8-4/h2-3,9-10H,1H3","LVZUMSAOORDPBX-UHFFFAOYSA-N"
289360,"4-Methylthieno(2,3-d)(1,2,3)diazaborinin-1(2H)-ol",166.037216,"C6H7BN2OS","B1(c2c(ccs2)C(=NN1)C)O","InChI=1S/C6H7BN2OS/c1-4-5-2-3-11-6(5)7(10)9-8-4/h2-3,9-10H,1H3","FWNVLTMEXBJHNS-UHFFFAOYSA-N"
298391,"5-Carbamoylnicotinic acid",166.037842,"C7H6N2O3","c1c(cncc1C(=O)O)C(=O)N","InChI=1S/C7H6N2O3/c8-6(10)4-1-5(7(11)12)3-9-2-4/h1-3H,(H2,8,10)(H,11,12)","SRIRTFSQYOUBGL-UHFFFAOYSA-N"
391773,"4-Hydroxy-3-nitrosobenzamide",166.037842,"C7H6N2O3","c1cc(c(cc1C(=O)N)N=O)O","InChI=1S/C7H6N2O3/c8-7(11)4-1-2-6(10)5(3-4)9-12/h1-3,10H,(H2,8,11)","GUWUNALKOAAXJC-UHFFFAOYSA-N"
477336,"6-Methoxybenzofuroxan",166.037842,"C7H6N2O3","COc1ccc2c(c1)[n+](on2)[O-]","InChI=1S/C7H6N2O3/c1-11-5-2-3-6-7(4-5)9(10)12-8-6/h2-4H,1H3","XCWFKHHSXPIDHN-UHFFFAOYSA-N"
483406,"Oxo(2-pyridinylamino)acetic acid ",166.037842,"C7H6N2O3","c1ccnc(c1)NC(=O)C(=O)O","InChI=1S/C7H6N2O3/c10-6(7(11)12)9-5-3-1-2-4-8-5/h1-4H,(H,11,12)(H,8,9,10)","RQLBRIIHVJSCTG-UHFFFAOYSA-N"
519069,"N-(3-Nitrophenyl)formamide",166.037842,"C7H6N2O3","c1cc(cc(c1)[N+](=O)[O-])NC=O","InChI=1S/C7H6N2O3/c10-5-8-6-2-1-3-7(4-6)9(11)12/h1-5H,(H,8,10)","QCDUUALALDXTAD-UHFFFAOYSA-N"
631590,"1,3-Dihydroxy-1,3-dihydro-2H-benzimidazol-2-one",166.037842,"C7H6N2O3","c1ccc2c(c1)n(c(=O)n2O)O","InChI=1S/C7H6N2O3/c10-7-8(11)5-3-1-2-4-6(5)9(7)12/h1-4,11-12H","MVYNLSRYRQAPAX-UHFFFAOYSA-N"
1013231,"4-Carbamoylnicotinic acid",166.037842,"C7H6N2O3","c1cncc(c1C(=O)N)C(=O)O","InChI=1S/C7H6N2O3/c8-6(10)4-1-2-9-3-5(4)7(11)12/h1-3H,(H2,8,10)(H,11,12)","PUXXPJODVNKSAT-UHFFFAOYSA-N"
